"Municipio","Ano","Rango","Poblacion"
"Gigante",2014,"Población en edad escolar 11- 16 años",1283
"Guadalupe",2014,"Población en edad escolar 11- 16 años",870
"Hobo",2014,"Población en edad escolar 11- 16 años",261
"Iquira",2014,"Población en edad escolar 11- 16 años",485
"Isnos",2014,"Población en edad escolar 11- 16 años",1131
"La Argentina",2014,"Población en edad escolar 11- 16 años",596
"La Plata",2014,"Población en edad escolar 11- 16 años",2688
"Nátaga",2014,"Población en edad escolar 11- 16 años",282
"Neiva",2014,"Población en edad escolar 11- 16 años",12255
"Oporapa",2014,"Población en edad escolar 11- 16 años",644
"Paicol",2014,"Población en edad escolar 11- 16 años",241
"Palermo",2014,"Población en edad escolar 11- 16 años",1217
"Palestina",2014,"Población en edad escolar 11- 16 años",494
"Pital",2014,"Población en edad escolar 11- 16 años",546
"Pitalito",2014,"Población en edad escolar 11- 16 años",5207
"Rivera",2014,"Población en edad escolar 11- 16 años",652
"Saladoblanco",2014,"Población en edad escolar 11- 16 años",493
"San Agustín",2014,"Población en edad escolar 11- 16 años",1325
"Santa Maria",2014,"Población en edad escolar 11- 16 años",453
"Suaza",2014,"Población en edad escolar 11- 16 años",764
"Tarqui",2014,"Población en edad escolar 11- 16 años",728
"Tello",2014,"Población en edad escolar 11- 16 años",604
"Teruel",2014,"Población en edad escolar 11- 16 años",341
"Tesalia",2014,"Población en edad escolar 11- 16 años",359
"Timaná",2014,"Población en edad escolar 11- 16 años",857
"Villavieja",2014,"Población en edad escolar 11- 16 años",294
"Yaguará",2014,"Población en edad escolar 11- 16 años",325
"Acevedo",2013,"Población en edad escolar 5 años",754
"Agrado",2013,"Población en edad escolar 5 años",201
"Aipe",2013,"Población en edad escolar 5 años",559
"Algeciras",2013,"Población en edad escolar 5 años",530
"Altamira",2013,"Población en edad escolar 5 años",89
"Baraya",2013,"Población en edad escolar 5 años",188
"Campoalegre",2013,"Población en edad escolar 5 años",652
"Colombia",2013,"Población en edad escolar 5 años",243
"Elias",2013,"Población en edad escolar 5 años",93
"Garzón",2013,"Población en edad escolar 5 años",1842
